iter	RMSE
0	29649.68288
1	28230.89191
2	26933.54744
3	25926.88245
4	24953.55818
5	24136.73695
6	23387.04499
7	22788.65921
8	22175.41792
9	21650.41498
10	21239.41683
11	20853.0796
12	20532.40498
13	20260.58489
14	20023.81491
15	19804.3222
16	19612.9071
17	19438.56974
18	19305.79053
19	19154.24497
20	19039.62565
21	18922.90556
22	18783.44534
23	18666.30403
24	18561.31041
25	18491.55275
26	18409.65045
27	18343.75321
28	18185.40554
29	18139.96616
30	18069.57296
31	17986.18234
32	17920.76025
33	17868.51785
34	17818.30969
35	17765.43892
36	17725.04613
37	17606.63556
38	17554.43845
39	17512.33016
40	17478.97002
41	17350.07368
42	17296.70149
43	17243.98076
44	17193.83149
45	17175.94673
46	17132.61384
47	17091.23709
48	17071.73959
49	17041.71163
50	17019.03193
51	16998.07587
52	16961.83065
53	16927.8706
54	16904.44309
55	16886.32326
56	16847.39102
57	16787.67513
58	16764.13027
59	16750.91515
60	16729.24493
61	16720.1583
62	16706.70633
63	16692.36791
64	16659.05843
65	16640.50774
66	16612.80695
67	16588.16323
68	16574.99341
69	16554.32675
70	16534.60598
71	16504.45436
72	16488.38165
73	16459.44755
74	16447.61261
75	16423.42198
76	16414.27598
77	16399.95052
78	16384.62792
79	16349.1551
80	16336.75012
81	16304.76186
82	16275.05028
83	16233.24236
84	16225.35924
85	16198.51764
86	16173.73439
87	16148.14822
88	16129.97175
89	16078.14378
90	16062.50668
91	16042.95364
92	16037.5819
93	16029.9902
94	16013.38393
95	16004.22337
96	15994.25155
97	15984.16611
98	15976.59723
99	15966.62837
100	15949.24131
101	15928.0435
102	15900.63547
103	15890.28695
104	15884.72859
105	15873.77895
106	15855.89831
107	15840.68569
108	15806.56055
109	15800.91081
110	15793.72788
111	15776.02727
112	15753.13408
113	15746.53835
114	15734.81436
115	15709.0992
116	15701.42391
117	15688.88292
118	15658.67644
119	15649.3046
120	15641.98621
121	15628.44815
122	15615.1135
123	15589.52334
124	15571.69319
125	15546.36966
126	15539.92969
127	15528.50968
128	15499.45313
129	15478.99378
130	15470.3412
131	15432.38314
132	15416.65755
133	15399.49719
134	15379.62603
135	15371.31944
136	15344.11753
137	15339.74215
138	15319.93607
139	15304.01583
140	15280.82493
141	15272.21138
142	15260.59802
143	15252.77949
144	15250.02152
145	15238.1067
146	15225.74101
147	15211.2341
148	15202.99366
149	15175.29644
150	15167.31334
151	15153.2471
152	15147.15375
153	15139.20101
154	15115.42685
155	15090.80046
156	15078.24711
157	15076.66898
158	15056.03424
159	15043.71615
160	15029.91037
161	15015.408
162	15003.06593
163	14986.49204
164	14977.91206
165	14976.47925
166	14969.88157
167	14958.35555
168	14939.59103
169	14931.86104
